Название;Компания;Зарплата;Рейтинг;Ссылка
Fullstack QA Engineer;Finstar Financial Group Finstar Financial Group;Зарплата не указана;0;https://hh.ru/vacancy/128951387?query=Java
FullStack-аналитик;ООО Пиксель Интернет ООО Пиксель Интернет;Зарплата не указана;0;https://rabota.by/vacancy/128639320?query=Java&hhtmFrom=vacancy_search_list
Scala Developer;Innowise Group / Фабрика инноваций и решений Innowise Group / Фабрика инноваций и решений;Зарплата не указана;0;https://rabota.by/vacancy/128994911?query=Java&hhtmFrom=vacancy_search_list
Performance Test Engineer;Innowise Group / Фабрика инноваций и решений Innowise Group / Фабрика инноваций и решений;Зарплата не указана;0;https://rabota.by/vacancy/128660325?query=Java&hhtmFrom=vacancy_search_list
Ведущий специалист по тестированию на проникновение в информационные системы;Государственное предприятие НЦОТ Государственное предприятие НЦОТ;Зарплата не указана;0;https://rabota.by/vacancy/128606304?query=Java&hhtmFrom=vacancy_search_list
Web-разработчик Wordpress | WooCommerce;ООО Альтер Эго Маркетинг ООО Альтер Эго Маркетинг;Зарплата не указана;0;https://rabota.by/vacancy/128348784?query=Java&hhtmFrom=vacancy_search_list
.NET Developer;ИП Карпинский Виктор Александрович ИП Карпинский Виктор Александрович;Зарплата не указана;0;https://rabota.by/vacancy/128445969?query=Java&hhtmFrom=vacancy_search_list
Trainee/Scala developer;Innowise Group / Фабрика инноваций и решений Innowise Group / Фабрика инноваций и решений;Зарплата не указана;0;https://rabota.by/vacancy/122521484?query=Java&hhtmFrom=vacancy_search_list
Trainee/Scala developer;Innowise Group / Фабрика инноваций и решений Innowise Group / Фабрика инноваций и решений;Зарплата не указана;0;https://rabota.by/vacancy/122521485?query=Java&hhtmFrom=vacancy_search_list
Trainee/Scala developer;Innowise Group / Фабрика инноваций и решений Innowise Group / Фабрика инноваций и решений;Зарплата не указана;0;https://rabota.by/vacancy/122521481?query=Java&hhtmFrom=vacancy_search_list
Trainee SAP CAP;Innowise Group / Фабрика инноваций и решений Innowise Group / Фабрика инноваций и решений;Зарплата не указана;0;https://rabota.by/vacancy/125911708?query=Java&hhtmFrom=vacancy_search_list
Full-Stack Developer A1 Competence Delivery Center;А1. Информационные технологии, телеком А1. Информационные технологии, телеком;Зарплата не указана;0;https://rabota.by/vacancy/126239026?query=Java&hhtmFrom=vacancy_search_list
Flutter + Node.js Developer;Paralect Paralect;Зарплата не указана;0;https://rabota.by/vacancy/128469571?query=Java&hhtmFrom=vacancy_search_list
Преподаватель в IT-школу для детей KIBERone (тьютор);ООО КиберКод ООО КиберКод;Зарплата не указана;0;https://rabota.by/vacancy/128324377?query=Java&hhtmFrom=vacancy_search_list
Программист 1С;ООО Азбука управления ООО Азбука управления;Зарплата не указана;0;https://rabota.by/vacancy/123691211?query=Java&hhtmFrom=vacancy_search_list
Ведущий инженер-программист;Национальный центр электронных услуг, РУП Национальный центр электронных услуг, РУП;Зарплата не указана;0;https://rabota.by/vacancy/126096059?query=Java&hhtmFrom=vacancy_search_list
BI/Data Analyst;ООО FIN.by / Акцент-Консалт ООО FIN.by / Акцент-Консалт;Зарплата не указана;0;https://rabota.by/vacancy/128330817?query=Java&hhtmFrom=vacancy_search_list
Back-end Engineer (Transition to Go);Innowise Group / Фабрика инноваций и решений Innowise Group / Фабрика инноваций и решений;Зарплата не указана;0;https://rabota.by/vacancy/122423105?query=Java&hhtmFrom=vacancy_search_list
Разработчик для IOS в Рекламную сеть Яндекса;Яндекс Яндекс;Зарплата не указана;0;https://hh.ru/vacancy/127308600?query=Java
Data Engineer (со знанием немецкого языка);Innowise Group / Фабрика инноваций и решений Innowise Group / Фабрика инноваций и решений;Зарплата не указана;0;https://rabota.by/vacancy/122295484?query=Java&hhtmFrom=vacancy_search_list
Инженер-конструктор микроэлектроники;АЛИФОР БЕЛ, ЧП АЛИФОР БЕЛ, ЧП;Зарплата не указана;0;https://rabota.by/vacancy/128948827?query=Java&hhtmFrom=vacancy_search_list
